Brand,Model,Year,Kilometers_Driven,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
Toyota,Corolla,2018,50000,Manual,First,15,1498,108.0,5,800000
Honda,Civic,2019,40000,Automatic,Second,17,1597,140.0,5,1000000
Ford,Mustang,2017,20000,Automatic,First,10,4951,395.0,4,2500000
Maruti,Swift,2020,30000,Manual,Third,23,1248,74.0,5,600000
Hyundai,Sonata,2016,60000,Automatic,Second,18,1999,194.0,5,850000
Tata,Nexon,2019,35000,Manual,First,17,1198,108.0,5,750000
Mahindra,Scorpio,2018,45000,Automatic,Second,15,2179,140.0,7,900000
Volkswagen,Polo,2020,25000,Automatic,First,18,999,76.0,5,650000
Audi,A4,2017,30000,Automatic,First,18,1968,187.0,5,2200000
BMW,X1,2019,20000,Automatic,Second,20,1995,190.0,5,2700000
Mercedes,C-Class,2018,28000,Automatic,First,16,1991,181.0,5,2300000
Ford,Endeavour,2017,35000,Automatic,Second,12,2198,158.0,7,2000000
Hyundai,Creta,2019,22000,Manual,Third,16,1497,113.0,5,850000
Tata,Harrier,2018,40000,Automatic,First,17,1956,167.0,5,1600000
Maruti,Ertiga,2020,18000,Manual,First,19,1462,103.0,7,850000
Honda,City,2017,42000,Manual,Second,25,1498,98.0,5,650000
Volkswagen,Tiguan,2018,32000,Automatic,First,17,1968,141.0,5,1800000
Audi,Q3,2016,38000,Automatic,Second,15,1395,148.0,5,1900000
BMW,5 Series,2019,24000,Automatic,First,18,1995,187.0,5,3000000
Mercedes,GLC,2017,26000,Automatic,Second,12,1991,241.0,5,2500000
Toyota,Innova,2018,50000,Manual,First,13,2755,171.0,7,1400000
Ford,Figo,2020,15000,Manual,Third,18,1194,94.0,5,550000
Hyundai,Verna,2019,26000,Automatic,Second,24,1582,126.0,5,850000
Tata,Altroz,2020,18000,Manual,First,20,1199,85.0,5,600000
Mahindra,Thar,2021,10000,Manual,First,15,2184,130.0,4,1200000
Volkswagen,Passat,2017,32000,Automatic,Second,17,1968,174.0,5,1600000
Audi,A6,2018,28000,Automatic,First,15,1984,241.0,5,3200000
BMW,X3,2019,22000,Automatic,Second,18,1995,187.0,5,2800000
Mercedes,E-Class,2017,30000,Automatic,First,16,1950,191.0,5,2700000
Toyota,Fortuner,2018,38000,Automatic,Second,12,2755,174.0,7,2500000
Ford,Aspire,2019,26000,Manual,Third,20,1194,94.0,5,600000
Hyundai,Elantra,2017,32000,Automatic,Second,22,1582,126.0,5,800000
Tata,Safari,2018,42000,Manual,First,14,1956,150.0,7,1300000
Maruti,Vitara,2019,24000,Manual,Second,17,1462,103.0,5,700000
Honda,WR-V,2018,28000,Manual,First,25,1498,98.0,5,750000
Volkswagen,Ameo,2020,15000,Automatic,Third,19,1197,74.0,5,500000
Audi,A3,2017,38000,Automatic,Second,16,1395,148.0,5,2000000
BMW,7 Series,2019,22000,Automatic,First,15,2993,261.0,5,3500000
Mercedes,GLE,2018,26000,Automatic,Second,12,2996,362.0,5,8000000
Toyota,Yaris,2020,18000,Manual,First,17,1496,106.0,5,650000
Ford,Ranger,2017,38000,Manual,Second,12,2198,158.0,5,1500000
Hyundai,Santro,2019,26000,Manual,Third,20,1086,68.0,5,450000
Tata,Tigor,2018,42000,Manual,First,24,1047,69.0,5,500000
Maruti,S-Cross,2020,15000,Automatic,Second,18,1462,103.0,5,700000
Honda,BR-V,2018,28000,Manual,First,21,1498,98.0,7,850000
